author,author_timezone,commit_message,lines_added,lines_removed,n_commits,n_projects_c,complexity,cognitive_complexity,duplicated_blocks,duplicated_files,duplicated_lines_density,violations,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,open_issues,sqale_debt_ratio,code_smells,bugs,reliability_rating,vulnerabilities,security_rating,files,comment_lines_density,n_measures,n_projects_m,effort,message,blocker,critical,info,major,minor,issue_code_length,n_issues,n_projects_i,clusters,quality_rating
Adrian Crum,0.0,181.06896551724137,31.344827586206893,8.379310344827585,29,2,3157.625,2008.0,213.25,37.875,7.6,1342.125,2.0,257.375,537.25,495.25,50.25,1342.125,3.7,1291.625,26.0,4.0,24.5,3.5,176.875,32.8875,8,2,40.0,190.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,1.0,Excellent programming skills,0.956290628447785
Adrian Nistor,0.0,197.0,4.0,3.0,1,1,9545.0,5528.0,440.0,105.0,6.2,3244.0,17.0,826.0,1425.0,944.0,32.0,3244.0,3.2,3086.0,146.0,5.0,12.0,4.0,482.0,29.6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.956290628447785
Alan Gates,0.0,149.76344561713958,107.26537319092459,71.49017253365355,15823,1,103180.34375,84767.9375,5706.40625,697.71875,19.040624999999995,42244.875,252.9375,1922.375,15339.84375,23764.34375,965.375,42244.875,3.2031250000000013,40675.03125,820.21875,5.0,749.625,4.0,2592.71875,9.678124999999998,32,1,34.38963730569948,164858.0,16.0,75.0,3.0,959.0,877.0,0.12590673575129532,1930.0,1.0,Extremely bad programming skills,0.18193617864282763
Alex Karasulu,0.0,185.18279569892476,21.304659498207887,24.11111111111111,279,1,7195.717391304348,7854.0,159.0,69.58695652173913,5.976086956521739,4297.521739130435,28.869565217391305,354.4782608695652,1925.7391304347825,1853.695652173913,134.7391304347826,4297.521739130435,3.599999999999997,4186.565217391304,36.52173913043478,5.0,74.43478260869566,4.0,475.5,31.26304347826088,46,1,19.350785340314136,13279.0,2.0,9.0,0.0,116.0,64.0,0.015706806282722512,191.0,1.0,Excellent programming skills,0.956290628447785
Alexander Shraer,0.0,183.15315315315314,37.62162162162162,7.927927927927928,111,1,9174.636363636364,8272.545454545454,313.45454545454544,98.54545454545456,5.809090909090909,4710.0,17.09090909090909,508.9090909090909,2010.2727272727273,2104.4545454545455,69.27272727272727,4710.0,3.100000000000001,4268.272727272727,32.09090909090909,5.0,409.6363636363636,4.0,430.0,13.21818181818182,11,1,10.838709677419352,1793.0,0.0,0.0,0.0,11.0,20.0,0.06451612903225806,31.0,1.0,Good programming skills,0.8920607525944605
Amareshwari Sri Ramadasu,0.0,198.63286713286712,82.24825174825175,69.42657342657343,286,1,44578.130434782615,38959.739130434784,2025.5652173913047,209.34782608695653,15.86521739130435,18584.60869565217,198.34782608695653,941.5217391304348,7179.04347826087,9832.347826086956,433.3478260869565,18584.60869565217,3.3826086956521744,17744.565217391304,469.0,5.0,371.0434782608696,4.0,1188.3478260869565,10.556521739130432,23,1,32.48407643312102,11216.0,4.0,9.0,0.0,39.0,105.0,0.0,157.0,1.0,Good programming skills,0.8920607525944605
Andrus Adamchik,0.0,131.21276244007274,53.519259381715976,0.9641263018680774,6049,1,26138.357664233576,18347.41605839416,1500.3649635036495,325.1605839416058,5.240875912408776,13305.131386861314,105.37956204379563,544.8394160583941,6463.664233576642,5810.9124087591235,380.3357664233577,13305.131386861314,3.5167883211678834,11744.627737226278,1441.007299270073,5.0,119.49635036496349,4.0,2393.8540145985407,11.012408759124089,137,1,30.62393162393163,12387.0,4.0,22.0,1.0,117.0,90.0,0.042735042735042736,234.0,1.0,Good programming skills,0.8920607525944605
Antoine Levy-Lambert,0.0,144.0,2.0,2.0,1,1,1020.0,828.0,30.0,8.0,9.6,439.0,0.0,63.0,199.0,171.0,6.0,439.0,2.9,437.0,0.0,1.0,2.0,4.0,41.0,20.2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.956290628447785
Antonio Petrelli,0.0,155.0,19.12167300380228,17.684410646387832,263,1,5418.0,6750.0,161.0,18.0,6.3,2891.0,89.0,116.0,1359.0,1321.0,6.0,2891.0,4.9,2701.0,148.0,5.0,42.0,4.0,245.0,11.1,1,1,90.0,24.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,Excellent programming skills,0.956290628447785
Arron Claude Bates,0.0,149.5,236.25,23.5,4,1,2802.0,2281.0,113.0,11.0,7.7,1419.5,19.0,337.0,522.5,536.0,5.0,1419.5,3.4,1383.5,15.0,5.0,21.0,4.0,93.0,23.1,2,1,24.16666666666667,252.0,0.0,1.0,0.0,4.0,1.0,0.0,6.0,1.0,Excellent programming skills,0.956290628447785
Arun Thomas,0.0,155.0,4.0,0.5,2,1,11789.0,6633.0,508.0,240.0,15.7,5227.0,9.0,783.0,2211.0,1910.0,314.0,5227.0,4.0,5099.0,88.0,5.0,40.0,4.0,696.0,31.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.956290628447785
Asankha Chamath Perera,0.0,239.6379310344828,15.689655172413795,5.913793103448277,58,2,5492.375,4195.1875,693.0625,116.6875,13.39375,2033.875,1.625,429.4375,970.9375,604.1875,27.6875,2033.875,3.518749999999999,2008.9375,6.625,4.0625,18.3125,4.0,428.1875,16.950000000000006,16,2,15.0,804.0,0.0,3.0,0.0,8.0,3.0,0.0,14.0,1.0,Good programming skills,0.8920607525944605
Ashish Thusoo,0.0,220.53093525179852,49.45755395683454,14.85179856115108,695,1,15080.0,13257.38,1270.44,76.96,16.874000000000002,9124.1,101.18,383.04,3593.8,4196.38,849.7,9124.1,4.575999999999996,8466.74,246.44,5.0,410.92,4.0,555.04,12.438000000000002,50,1,13.358695652173912,11671.0,1.0,14.0,2.0,86.0,81.0,0.04891304347826087,184.0,1.0,Good programming skills,0.8920607525944605
Ashutosh Chauhan,0.0,213.81230388894173,63.25197299610155,54.82238280878578,21034,1,94042.49858088931,78842.89120151372,4959.3443708609275,602.5894039735099,18.268401135288546,38346.95175023652,236.0094607379376,1749.6452223273416,14154.811731315043,21328.34626300852,878.1390728476822,38346.95175023652,3.2356669820245907,36880.35288552507,786.5449385052034,5.0,680.0539262062441,4.0,2367.25449385052,9.764995269631097,1057,1,27.860098582121342,1239546.0,143.0,780.0,25.0,8423.0,7062.0,0.07752692752388486,16433.0,1.0,Extremely bad programming skills,0.18193617864282763
Benedikt Ritter,0.0,216.70114170584284,7.347548690396239,4.5134318334452646,2978,14,3673.557416267943,2610.6483253588517,206.2846889952153,42.03349282296651,10.399760765550244,1810.921052631579,57.61004784688996,205.73205741626796,707.4976076555023,771.7535885167464,68.32775119617224,1810.921052631579,4.259090909090915,1755.8325358851675,25.595693779904302,4.016746411483252,29.492822966507177,3.4736842105263164,210.078947368421,28.21507177033494,418,13,9.21656050955414,25457.0,1.0,7.0,0.0,122.0,27.0,0.0,157.0,9.0,Excellent programming skills,0.9697124403149269
