,0
analysis_key,object
complexity,float64
cognitive_complexity,float64
coverage,float64
duplicated_blocks,int64
duplicated_files,int64
duplicated_lines_density,float64
violations,int64
blocker_violations,int64
critical_violations,int64
major_violations,int64
minor_violations,int64
info_violations,int64
false_positive_issues,int64
open_issues,int64
reopened_issues,int64
confirmed_issues,int64
sqale_debt_ratio,float64
code_smells,int64
bugs,int64
reliability_rating,int64
vulnerabilities,int64
security_rating,int64
files,float64
comment_lines_density,float64
