author,author_timezone,commit_message,n_commits,n_projects_c,complexity,cognitive_complexity,class_complexity,duplicated_blocks,duplicated_files,duplicated_lines_density,violations,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,open_issues,sqale_debt_ratio,code_smells,bugs,reliability_rating,vulnerabilities,security_rating,files,comment_lines_density,function_complexity,file_complexity,effort_to_reach_maintainability_rating_a,new_sqale_debt_ratio,security_remediation_effort,reliability_remediation_effort,error,ok,warn,n_measures,n_projects_m,effort,message,blocker,critical,info,major,minor,issue_code_length,n_issues,n_projects_i
Adrian Crum,0.0,181.06896551724137,29,2,3157.625,2008.0,15.612499999999999,213.25,37.875,7.6,1342.125,2.0,257.375,537.25,495.25,50.25,1342.125,3.7,1291.625,26.0,4.0,24.5,3.5,176.875,32.8875,1.6499999999999997,17.35,0.0,3.6412436105388224,645.0,412.5,8.0,0,0,8,2,40.0,190.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,1.0
Adrian Nistor,0.0,197.0,1,1,9545.0,5528.0,14.4,440.0,105.0,6.2,3244.0,17.0,826.0,1425.0,944.0,32.0,3244.0,3.2,3086.0,146.0,5.0,12.0,4.0,482.0,29.6,1.6,19.8,0.0,3.1011275679634305,190.0,2604.0,1.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Gates,0.0,149.7634456171396,15823,1,103180.34375,84767.9375,17.331249999999994,5706.40625,697.71875,19.040624999999995,42244.875,252.9375,1922.375,15339.84375,23764.34375,965.375,42244.875,3.2031250000000013,40675.03125,820.21875,5.0,749.625,4.0,2592.71875,9.678124999999998,2.2999999999999985,40.031249999999986,0.0,3.0902297541449375,9264.21875,15898.1875,32.0,0,0,32,1,34.38963730569948,164858.0,16.0,75.0,3.0,959.0,877.0,0.12590673575129532,1930.0,1.0
Alex Karasulu,0.0,185.18279569892474,279,1,7195.717391304348,7854.0,15.128260869565217,159.0,69.58695652173913,5.976086956521739,4297.521739130435,28.869565217391305,354.4782608695652,1925.7391304347825,1853.695652173913,134.7391304347826,4297.521739130435,3.5999999999999974,4186.565217391304,36.52173913043478,5.0,74.43478260869566,4.0,475.5,31.263043478260876,2.2630434782608684,17.71304347826086,0.0,3.584494278743593,785.4347826086956,610.8913043478261,46.0,0,0,46,1,19.350785340314136,13279.0,2.0,9.0,0.0,116.0,64.0,0.015706806282722512,191.0,1.0
Alexander Shraer,0.0,183.15315315315314,111,1,9174.636363636364,8272.545454545454,12.42727272727273,313.45454545454544,98.54545454545455,5.809090909090909,4710.0,17.09090909090909,508.90909090909093,2010.2727272727273,2104.4545454545455,69.27272727272727,4710.0,3.100000000000001,4268.272727272727,32.09090909090909,5.0,409.6363636363636,4.0,430.0,13.218181818181819,2.1000000000000005,21.545454545454543,0.0,2.6374684476883687,9942.272727272728,174.72727272727272,11.0,0,0,11,1,10.838709677419354,1793.0,0.0,0.0,0.0,11.0,20.0,0.06451612903225806,31.0,1.0
Amareshwari Sri Ramadasu,0.0,198.63286713286712,286,1,44578.13043478261,38959.739130434784,21.526086956521738,2025.5652173913043,209.34782608695653,15.86521739130435,18584.608695652172,198.34782608695653,941.5217391304348,7179.04347826087,9832.347826086956,433.3478260869565,18584.608695652172,3.3826086956521744,17744.565217391304,469.0,5.0,371.04347826086956,4.0,1188.3478260869565,10.556521739130433,2.399999999999999,37.50869565217391,0.0,3.1222076324804404,4439.565217391304,7893.347826086957,23.0,0,0,23,1,32.48407643312102,11216.0,4.0,9.0,0.0,39.0,105.0,0.0,157.0,1.0
Andrus Adamchik,0.0,131.21276244007274,6049,1,26140.25,18348.03676470588,11.232352941176444,1500.4338235294117,325.1985294117647,5.241176470588251,13306.014705882353,105.38235294117646,544.9044117647059,6464.117647058823,5811.14705882353,380.4632352941176,13306.014705882353,3.516911764705882,11745.433823529413,1441.0294117647059,5.0,119.55147058823529,4.0,2394.1470588235293,11.0125,1.8000000000000043,11.91323529411765,0.0,1.2276282032598185,1858.2720588235295,12598.882352941177,136.0,0,0,136,1,30.623931623931625,12387.0,4.0,22.0,1.0,117.0,90.0,0.042735042735042736,234.0,1.0
Antoine Levy-Lambert,0.0,144.0,1,1,1020.0,828.0,23.7,30.0,8.0,9.6,439.0,0.0,63.0,199.0,171.0,6.0,439.0,2.9,437.0,0.0,1.0,2.0,4.0,41.0,20.2,2.2,24.9,0.0,2.60204938686377,30.0,0.0,1.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Petrelli,0.0,155.0,263,1,5418.0,6750.0,19.6,161.0,18.0,6.3,2891.0,89.0,116.0,1359.0,1321.0,6.0,2891.0,4.9,2701.0,148.0,5.0,42.0,4.0,245.0,11.1,2.8,22.1,0.0,4.87661767114924,495.0,454.0,1.0,0,0,1,1,90.0,24.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0
Arron Claude Bates,0.0,149.5,4,1,2802.0,2281.0,20.5,113.0,11.0,7.7,1419.5,19.0,337.0,522.5,536.0,5.0,1419.5,3.4,1383.5,15.0,5.0,21.0,4.0,93.0,23.1,1.8,30.1,0.0,3.295257728998825,225.0,305.0,2.0,0,0,2,1,24.166666666666668,252.0,0.0,1.0,0.0,4.0,1.0,0.0,6.0,1.0
