author,author_timezone,commit_message,n_commits,n_projects_c,complexity,cognitive_complexity,duplicated_blocks,duplicated_files,duplicated_lines_density,violations,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,open_issues,sqale_debt_ratio,code_smells,bugs,reliability_rating,vulnerabilities,security_rating,files,comment_lines_density,n_measures,n_projects_m,effort,message,blocker,critical,info,major,minor,issue_code_length,n_issues,n_projects_i,clusters,quality_rating
Adrian Crum,0.0,181.06896551724137,29,2,3157.625,2008.0,213.25,37.875,7.6,1342.125,2.0,257.375,537.25,495.25,50.25,1342.125,3.7,1291.625,26.0,4.0,24.5,3.5,176.875,32.8875,8,2,40.0,190.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,1.0,Excellent programming skills,0.9551698306766678
Adrian Nistor,0.0,197.0,1,1,9545.0,5528.0,440.0,105.0,6.2,3244.0,17.0,826.0,1425.0,944.0,32.0,3244.0,3.2,3086.0,146.0,5.0,12.0,4.0,482.0,29.6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9551698306766678
Alan Gates,0.0,149.7634456171396,15823,1,103180.34375,84767.9375,5706.40625,697.71875,19.040624999999995,42244.875,252.9375,1922.375,15339.84375,23764.34375,965.375,42244.875,3.2031250000000013,40675.03125,820.21875,5.0,749.625,4.0,2592.71875,9.678124999999998,32,1,34.38963730569948,164858.0,16.0,75.0,3.0,959.0,877.0,0.1259067357512953,1930.0,1.0,Extremely bad programming skills,0.17516783439468797
Alex Karasulu,0.0,185.18279569892476,279,1,7195.717391304348,7854.0,159.0,69.58695652173913,5.976086956521739,4297.521739130435,28.869565217391305,354.4782608695652,1925.7391304347825,1853.695652173913,134.7391304347826,4297.521739130435,3.599999999999997,4186.565217391304,36.52173913043478,5.0,74.43478260869566,4.0,475.5,31.26304347826088,46,1,19.350785340314136,13279.0,2.0,9.0,0.0,116.0,64.0,0.0157068062827225,191.0,1.0,Excellent programming skills,0.9551698306766678
Alexander Shraer,0.0,183.15315315315317,111,1,9174.636363636364,8272.545454545454,313.45454545454544,98.54545454545456,5.809090909090909,4710.0,17.09090909090909,508.9090909090909,2010.2727272727277,2104.454545454545,69.27272727272727,4710.0,3.100000000000001,4268.272727272727,32.09090909090909,5.0,409.6363636363636,4.0,430.0,13.21818181818182,11,1,10.838709677419354,1793.0,0.0,0.0,0.0,11.0,20.0,0.064516129032258,31.0,1.0,Excellent programming skills,0.9006647723487679
Amareshwari Sri Ramadasu,0.0,198.63286713286712,286,1,44578.13043478261,38959.739130434784,2025.5652173913045,209.34782608695653,15.86521739130435,18584.60869565217,198.34782608695653,941.5217391304348,7179.04347826087,9832.347826086956,433.3478260869565,18584.60869565217,3.3826086956521744,17744.565217391304,469.0,5.0,371.0434782608696,4.0,1188.3478260869565,10.556521739130432,23,1,32.48407643312102,11216.0,4.0,9.0,0.0,39.0,105.0,0.0,157.0,1.0,Excellent programming skills,0.9006647723487679
Andrus Adamchik,0.0,131.21276244007274,6049,1,26138.357664233576,18347.41605839416,1500.3649635036495,325.16058394160586,5.240875912408776,13305.131386861314,105.37956204379562,544.8394160583941,6463.664233576642,5810.912408759124,380.33576642335765,13305.131386861314,3.516788321167883,11744.627737226278,1441.007299270073,5.0,119.4963503649635,4.0,2393.8540145985403,11.012408759124089,137,1,30.623931623931625,12387.0,4.0,22.0,1.0,117.0,90.0,0.0427350427350427,234.0,1.0,Excellent programming skills,0.9006647723487679
Antoine Levy-Lambert,0.0,144.0,1,1,1020.0,828.0,30.0,8.0,9.6,439.0,0.0,63.0,199.0,171.0,6.0,439.0,2.9,437.0,0.0,1.0,2.0,4.0,41.0,20.2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9551698306766678
Antonio Petrelli,0.0,155.0,263,1,5418.0,6750.0,161.0,18.0,6.3,2891.0,89.0,116.0,1359.0,1321.0,6.0,2891.0,4.9,2701.0,148.0,5.0,42.0,4.0,245.0,11.1,1,1,90.0,24.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,Excellent programming skills,0.9006647723487679
Arron Claude Bates,0.0,149.5,4,1,2802.0,2281.0,113.0,11.0,7.7,1419.5,19.0,337.0,522.5,536.0,5.0,1419.5,3.4,1383.5,15.0,5.0,21.0,4.0,93.0,23.1,2,1,24.166666666666668,252.0,0.0,1.0,0.0,4.0,1.0,0.0,6.0,1.0,Excellent programming skills,0.9006647723487679
